MODCREATOR_BASIC_COMPCONF	コンポーネントの構成
MODCREATOR_BASIC_TYPE	タイプ
MODCREATOR_BASIC_HAIRSLOT	ヘアスロット
MODCREATOR_BASIC_CLOTHSLOT	衣類スロット
MODCREATOR_BASIC_STUDIOSLOT	スタジオオブジェクトスロット
MODCREATOR_BASIC_CLOTHSTATE	衣類の状態
MODCREATOR_BASIC_ACCSLOT	アクセサリースロット
MODCREATOR_BASIC_TEXTYPE	テクスチャの種類
MODCREATOR_BASIC_TEX	テクスチャ
MODCREATOR_BASIC_REPARENTABLE	Reparentable
MODCREATOR_BASIC_PARENT	デフォルトペアレント
MODCREATOR_BASIC_USAGE	使用法
MODCREATOR_BASIC_SCENECONF	シーン設定
MODCREATOR_BASIC_ITEMCONF	アイテム構成
MODCREATOR_BASIC_NAME	名前
MODCREATOR_BASIC_DESC	説明
MODCREATOR_BASIC_GENDERS	サポートされる性別
MODCREATOR_BASIC_ICON	アイコン
MODCREATOR_BASIC_TAGS	タグ
MODCREATOR_BASIC_ADVEDIT	高度な編集
MODCREATOR_BASIC_COPY	コピー
MODCREATOR_BASIC_PASTE	ペースト

MODCREATOR_BASIC_NSFWCAT	R18コンテンツ
MODCREATOR_BASIC_ISNSFW	NSFW
MODCREATOR_BASIC_NSFWWARN1	R18コンテンツを含む改造アイテムはNSFWとしてマークされなければなりません。
MODCREATOR_BASIC_NSFWWARN2	透けて見える服、ヌードポスター、ストリップクラブなどが含まれます。
MODCREATOR_BASIC_NSFWWARN3	ゲームがSFWモードで動作している場合、NSFW改造アイテムは使用できません。

MODCREATOR_BASIC_CLOTHSTATE_FULL	フル
MODCREATOR_BASIC_CLOTHSTATE_HALF	ハーフ
MODCREATOR_BASIC_CLOTHSTATE_OFF	オフ

MODCREATOR_BASIC_ACCSLOT_HEAD	ヘッド
MODCREATOR_BASIC_ACCSLOT_NECK	首
MODCREATOR_BASIC_ACCSLOT_UPPERBODY	上半身
MODCREATOR_BASIC_ACCSLOT_LOWERBODY	下半身
MODCREATOR_BASIC_ACCSLOT_ARMS	腕
MODCREATOR_BASIC_ACCSLOT_HANDS	手
MODCREATOR_BASIC_ACCSLOT_LEGS	脚部
MODCREATOR_BASIC_ACCSLOT_FEET	足

MODCREATOR_BASIC_CLOTHSLOT_BRA	ブラジャー
MODCREATOR_BASIC_CLOTHSLOT_PANTIES	パンティ
MODCREATOR_BASIC_CLOTHSLOT_BOXERS	ボクサーズ
MODCREATOR_BASIC_CLOTHSLOT_SOCKS	ソックス
MODCREATOR_BASIC_CLOTHSLOT_STOCKINGS	ストッキング
MODCREATOR_BASIC_CLOTHSLOT_SHIRT	シャツ
MODCREATOR_BASIC_CLOTHSLOT_COAT	コート
MODCREATOR_BASIC_CLOTHSLOT_ONEPIECE	ワンピース
MODCREATOR_BASIC_CLOTHSLOT_SKIRT	スカート
MODCREATOR_BASIC_CLOTHSLOT_PANTS	パンツ
MODCREATOR_BASIC_CLOTHSLOT_SHOES	シューズ

MODCREATOR_BASIC_STUDIOSLOT_BASICSHAPES	基本図形
MODCREATOR_BASIC_STUDIOSLOT_LIGHTS	ライト
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS2D	2Dエフェクト
MODCREATOR_BASIC_STUDIOSLOT_EFFECTS3D	3Dエフェクト
MODCREATOR_BASIC_STUDIOSLOT_SMALLOBJECTS	小さなオブジェクト
MODCREATOR_BASIC_STUDIOSLOT_LARGEOBJECTS	大きなオブジェクト
MODCREATOR_BASIC_STUDIOSLOT_MISCOBJECTS	その他のオブジェクト
MODCREATOR_BASIC_STUDIOSLOT_HRELATED	H 関連オブジェクト
MODCREATOR_BASIC_STUDIOSLOT_FOODRELATED	食品関連
MODCREATOR_BASIC_STUDIOSLOT_CHARARELATED	キャラ関連
MODCREATOR_BASIC_STUDIOSLOT_FURNITURE	家具関連
MODCREATOR_BASIC_STUDIOSLOT_BUILDINGS	ビルディング
MODCREATOR_BASIC_STUDIOSLOT_GIMMICKS	ギミック

MODCREATOR_BASIC_HAIRSLOT_HAIRSET	ヘアセット
MODCREATOR_BASIC_HAIRSLOT_FRONTHAIR	フロントヘア
MODCREATOR_BASIC_HAIRSLOT_SIDEHAIR	サイドヘア
MODCREATOR_BASIC_HAIRSLOT_BACKHAIR	バックヘア
MODCREATOR_BASIC_HAIRSLOT_EXTENSION	エクステンション

MODCREATOR_BASIC_TEXTYPE_FACESKIN	フェイススキン
MODCREATOR_BASIC_TEXTYPE_BODYSKIN	ボディスキン
MODCREATOR_BASIC_TEXTYPE_NIPPLES	乳首

MODCREATOR_BASIC_TYPE_CLOTHING	衣服
MODCREATOR_BASIC_TYPE_ACCESSORY	アクセサリー
MODCREATOR_BASIC_TYPE_HAIR	髪の毛
MODCREATOR_BASIC_TYPE_TEXTURE	テクスチャ

MODCREATOR_BUILDER_COMPTYPE_NULLVALUE	デフォルト
MODCREATOR_BUILDER_COMPTYPE_NONE	解凍
MODCREATOR_BUILDER_COMPTYPE_ZSTANDARD	Zstandard
MODCREATOR_BASIC_TEXTYPE_FACEOVERLAY	Face Overlay
MODCREATOR_BASIC_TEXTYPE_BODYOVERLAY	Body Overlay
MODCREATOR_BASIC_CLOTHSIM_TITLE	Physics Simulation
MODCREATOR_BASIC_CLOTHSIM_PRESET	Preset
MODCREATOR_BASIC_CLOTHSIM_PRESET_NONE	Default
MODCREATOR_BASIC_CLOTHSIM_PRESET_TAILBONESPRING	Tail (BoneSpring)
MODCREATOR_BASIC_CLOTHSIM_PRESET_SKIRT	Skirt
MODCREATOR_BASIC_CLOTHSIM_PRESET_BREASTS	Breasts
MODCREATOR_BASIC_CLOTHSIM_PRESET_CAPE	Cape
MODCREATOR_BASIC_CLOTHSIM_PRESET_NECKTIE	Necktie
MODCREATOR_BASIC_CLOTHSIM_PRESET_HAIRSTRAINS	Hair (Strains)
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE	Bone Alignment Mode
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_ATTACHONLY	Attach Only
MODCREATOR_BASIC_CLOTHSIM_BONEALIGNMENTMODE_FULL	Full
MODCREATOR_BASIC_CLOTHSIM_ARMATUREROOT	Armature Root
MODCREATOR_BASIC_CLOTHSIM_ENABLED	Enabled
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE	Simulation Type
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONESPRING	Bone Spring
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_BONECLOTH	Bone Cloth
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_MESHCLOTH	Mesh Cloth
MODCREATOR_BASIC_CLOTHSIM_USEBACKSTOP	Use Backstop
MODCREATOR_BASIC_CLOTHSIM_CUSTOMSKINNING	Custom Skinning
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE	Connection Mode
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_LINE	Line
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_AUTOMATICMESH	Automatic Mesh
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALLOOPMESH	Sequential Loop Mesh
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_SEQUENTIALNONLOOPMESH	Sequential Nonloop Mesh
MODCREATOR_BASIC_CLOTHSIM_REDUCTION	Reduction
MODCREATOR_BASIC_CLOTHSIM_SKINNINGBONES	Skinning Bones
MODCREATOR_BASIC_CLOTHSIM_ROOTBONES	Root Bones
MODCREATOR_BASIC_CLOTHSIM_PAINTMAP	Paint Map
MODCREATOR_BASIC_CLOTHSIM_SIMULATIONTYPE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_CONNECTIONMODE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE	Collision Mode
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_NONE	None
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_POINT	Point
MODCREATOR_BASIC_CLOTHSIM_COLLISIONMODE_EDGE	Edge
MODCREATOR_BASIC_CLOTHSIM_RADIUS	Radius
MODCREATOR_BASIC_CLOTHSIM_FRICTION	Friction
MODCREATOR_BASIC_OVERLAYCOLOR	Overlay Color
MODCREATOR_BASIC_TEXTYPE_LIPS	Lips
MODCREATOR_BASIC_CLOTHSIM_NAME	Name
MODCREATOR_BASIC_CLOTHSIM_GENERAL	General
MODCREATOR_BASIC_CLOTHSIM_ANIMPOSERATIO	Animation Pose Ratio
MODCREATOR_BASIC_CLOTHSIM_COLLISION	Collision
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUS	Max Distance Radius
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPNORMALALIGN	Backstop Normal Align
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDIST	Backstop Distance
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPRADIUS	Backstop Radius
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFNESS	Backstop Stiffness
MODCREATOR_BASIC_CLOTHSIM_FORCE	Force
MODCREATOR_BASIC_CLOTHSIM_GRAVITY	Gravity
MODCREATOR_BASIC_CLOTHSIM_DAMPING	Damping
MODCREATOR_BASIC_CLOTHSIM_ANGLE	Angle
MODCREATOR_BASIC_CLOTHSIM_STIFFNESS	Stiffness
MODCREATOR_BASIC_CLOTHSIM_VELATTEN	Velocity Attenuation
MODCREATOR_BASIC_CLOTHSIM_SHAPE	Shape
MODCREATOR_BASIC_CLOTHSIM_RIGIDNESS	Rigidness
MODCREATOR_BASIC_CLOTHSIM_TETHER	Tether
MODCREATOR_BASIC_CLOTHSIM_INERTIA	Inertia
MODCREATOR_BASIC_CLOTHSIM_WORLDINERT	World Inertia
MODCREATOR_BASIC_CLOTHSIM_LOCALINERT	Local Inertia
MODCREATOR_BASIC_CLOTHSIM_SIMULATION	Simulation
MODCREATOR_BASIC_CLOTHSIM_ADVCOLLISION	Advanced Collision
MODCREATOR_BASIC_CLOTHSIM_RADIUSCURVE	Radius Curve
MODCREATOR_BASIC_CLOTHSIM_MAXDISTRADIUSCURVE	Max Dist Radius Curve
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPDISTCURVE	Backstop Distance Curve
MODCREATOR_BASIC_CLOTHSIM_BACKSTOPSTIFFCURVE	Backstop Stiffness Curve
MODCREATOR_BASIC_CLOTHSIM_DAMPINGCURVE	Damping Curve
MODCREATOR_BASIC_CLOTHSIM_STIFFNESSCURVE	Stiffness Curve
MODCREATOR_BASIC_CLOTHSIM_RIGIDCURVE	Rigidness Curve
MODCREATOR_BASIC_CLOTHSIM_ANGLIMIT	Angle Limit
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITCURVE	Angle Limit Curve
MODCREATOR_BASIC_CLOTHSIM_ANGLIMITSTIFFNESS	Angle Limit Stiffness
MODCREATOR_BASIC_CLOTHSIM_SPRINGSTR	Spring Strength
MODCREATOR_BASIC_CLOTHSIM_SPRINGDIST	Spring Distance
MODCREATOR_BASIC_CLOTHSIM_SPRINGNORMALDISTRATIO	Spring Normal Dist Ratio
MODCREATOR_BASIC_CLOTHSIM_SPRINGNOISE	Spring Noise
MODCREATOR_BASIC_FK_TITLE	Forward Kinematics
MODCREATOR_BASIC_FK_GENERAL	General
MODCREATOR_BASIC_FK_GROUPNAME	Group Name
MODCREATOR_BASIC_FK_CHARASETTINGS	Character Settings
MODCREATOR_BASIC_FK_FUTAEXCLUSIVE	Futa Exclusive
MODCREATOR_BASIC_FK_TRANSFORMNAME	Transform Name
MODCREATOR_BASIC_FK_TRANSFORM	Transform
MODCREATOR_BASIC_FK_READRESTINGANG	Read Resting Angle
MODCREATOR_BASIC_FK_RESTINGANGLE	Resting Angle
MODCREATOR_BASIC_FK_MOVABLETARGSCA	Movable Target Scale
MODCREATOR_BASIC_FK_MIRRORING	Mirroring
MODCREATOR_BASIC_FK_MIRRORTRANSFORM	Mirror Transform
MODCREATOR_BASIC_FK_MIRRORX	Mirror X Axis
MODCREATOR_BASIC_FK_MIRRORY	Mirror Y Axis
MODCREATOR_BASIC_FK_MIRRORZ	Mirror Z Axis
MODCREATOR_BASIC_TEXTYPE_OUTERIRIS	Outer Iris
MODCREATOR_BASIC_TEXTYPE_INNERIRIS	Inner Iris
MODCREATOR_BASIC_TEXTYPE_PUPIL	Pupil
MODCREATOR_BASIC_TEXTYPE_HIGHLIGHT	Highlight
